Item,label,percent
butterfly,buom,0.7142857142857143
die,xuc xac,0.7142857142857143
door,cua,0.7142857142857143
dress,vay,0.7142857142857143
fork,nia,0.7142857142857143
ornament,trang tri,0.7142857142857143
present,hop qua,0.7142857142857143
robot,ro bo,0.7142857142857143
shoe,giay,0.7142857142857143
calendar,cocch,0.7619047619047619
cap,non,0.7619047619047619
coathanger,moc,0.7619047619047619
microscope,kinh hien vi,0.7619047619047619
plate,dia,0.7619047619047619
purse,tui,0.7619047619047619
remote,dieu khien,0.7619047619047619
ribbon,no,0.7619047619047619
sword,kiem,0.7619047619047619
tent,leu,0.7619047619047619
tie,ca vat,0.7619047619047619
truck,xe tai,0.7619047619047619
tv,ti vi,0.7619047619047619
whistle,coi,0.7619047619047619
bucket,so,0.8095238095238095
comb,luoc,0.8095238095238095
crown,vuong mien,0.8095238095238095
cushion,goi,0.8095238095238095
dresser,tu,0.8095238095238095
fryingpan,chao,0.8095238095238095
guitar,ghi ta,0.8095238095238095
mask,khau trang,0.8095238095238095
rug,tham,0.8095238095238095
scarf,khan,0.8095238095238095
slipper,dep,0.8095238095238095
vase,binh,0.8095238095238095
airplane,may bay,0.8571428571428571
frame,khung,0.8571428571428571
key,chia khoa,0.8571428571428571
ring,nhan,0.8571428571428571
shovel,xeng,0.8571428571428571
switch,cong tac,0.8571428571428571
balloon,bong bong,0.9047619047619048
bed,giuong,0.9047619047619048
binoculars,ong nhom,0.9047619047619048
calculator,may tinh,0.9047619047619048
candle,nen,0.9047619047619048
fence,hang rao,0.9047619047619048
flower,hoa,0.9047619047619048
knife,do,0.9047619047619048
napkin,khan,0.9047619047619048
pencil,but chi,0.9047619047619048
rope,day,0.9047619047619048
ruler,thuoc,0.9047619047619048
shell,so,0.9047619047619048
spoon,muong,0.9047619047619048
belt,nit,0.9523809523809523
bike,xe dap,0.9523809523809523
cake,banh,0.9523809523809523
chair,ghe,0.9523809523809523
clock,dong ho,0.9523809523809523
drum,trong,0.9523809523809523
fish,ca,0.9523809523809523
lamp,den,0.9523809523809523
lock,khoa,0.9523809523809523
luggage,va coc,0.9523809523809523
phone,dien thoai,0.9523809523809523
piano,piano,0.9523809523809523
razor,cao,0.9523809523809523
armchair,ghe,1
bonbon,keo,1
hammer,bua,1
lipstick,son,1
mouse,chuot,1
mug,coc,1
sock,tat,1
